company,report_year,filename,pdf_sha256,page_count,file_size,document_modality,canonical_for_testing,duplicate_group,annotation_status
中国平安,2023,中国平安2023年报.pdf,f55538814200d77a61492ba216e45508f487064207bca6a4d90c7b55add43823,334,7225491,TEXT_DOMINANT_OR_HYBRID,True,UNIQUE,CERTIFIED_GOLDEN
中国平安,2024,中国平安2024年报.pdf,6ffff1cade59c64c8178494c083cac8a4011ef5ae2fed32f85dd488a64a809b2,346,11542073,TEXT_DOMINANT_OR_HYBRID,True,UNIQUE,CERTIFIED_GOLDEN
中国平安,2025,中国平安2025年报.pdf,860c455bbad9be59d3d1bf64bf683733feb79157212532df44b91d49a0b03c2a,370,9497402,TEXT_DOMINANT_OR_HYBRID,True,UNIQUE,CERTIFIED_GOLDEN
新华保险,2023,新华保险2023年报.pdf,046dbb6f39ab859f8c6c7beabf06010abf775a860964b24ab076f8053b1365b0,284,4651395,TEXT_DOMINANT_OR_HYBRID,True,UNIQUE,CERTIFIED_GOLDEN
新华保险,2024,新华保险2024年报.pdf,a983bd987c15ab982d9fbbce29255afff4bc90ca6ba5f15334d0784a8de1c7f0,292,4245883,TEXT_DOMINANT_OR_HYBRID,True,UNIQUE,CERTIFIED_GOLDEN
新华保险,2025,新华保险2025年报.pdf,4a5d6ee54dc0a351acac6d9d3ce1d0eee6d4a388c4c36c1668a35d5ffd35c528,295,6694301,TEXT_DOMINANT_OR_HYBRID,True,UNIQUE,CERTIFIED_GOLDEN
中国太保,2023,中国太保2023年报.pdf,9440391625bd78bcb76250d915a459c5807b686545b8b4542ec68a4c3718e65f,298,16963883,IMAGE_DOMINANT_OR_LOW_TEXT,True,UNIQUE,CERTIFIED_GOLDEN
中国太保,2024,中国太保2024年报.pdf,76de908ba1e2d4e558a52d27138c3178767b9115d38c47b3ab9cf6cab145086b,283,18083419,IMAGE_DOMINANT_OR_LOW_TEXT,True,UNIQUE,CERTIFIED_GOLDEN
中国太保,2025,中国太保2025年报.pdf,0cf458e4f3705b6ce1453cf88a12ecf48454089e920aed451603a06f24db6803,279,17571941,IMAGE_DOMINANT_OR_LOW_TEXT,True,UNIQUE,CERTIFIED_GOLDEN
中国人寿,2023,中国人寿2023年年度报告.pdf,5ea1048c3a9323b37b1ad2e870da0fb54d9cfacdfba159aad4b9bec070edc18a,244,5800764,TEXT_DOMINANT_OR_HYBRID,True,UNIQUE,CERTIFIED_GOLDEN
中国人寿,2024,中国人寿2024年年度报告.pdf,3cc6db9bbd9c3c754548b6be288bcebae7187e5264eba59025237f5aa8c667e0,256,13075666,TEXT_DOMINANT_OR_HYBRID,True,UNIQUE,CERTIFIED_GOLDEN
中国人寿,2025,中国人寿2025年年度报告.pdf,575a833fd7b83ad3568483273645236eddb751a92ab89f7e1c09105d92cedb27,228,5031381,TEXT_DOMINANT_OR_HYBRID,True,UNIQUE,CERTIFIED_GOLDEN
工银安盛,2025,2025zoar.pdf,5b4dedda91341cf13e78c1f511e0ccca9259735f425399c424bcab988e0cd81f,326,6535489,TEXT_DOMINANT_OR_HYBRID,False,EXCLUDED_NON_TARGET,DOCUMENT_OTHER_NOT_CANONICAL
