row_order,row_type,parent_section,raw_item,normalized_item,unit,2024 本公司,2024 本集团,2025 本公司,2025 本集团
1,DETAIL,,工资及福利费,工资及福利费,,405062799.0,450070257.0,453567201.0,494040164.0
2,DETAIL,,服务费,服务费,,91631416.0,105996040.0,84753451.0,101286372.0
3,DETAIL,,社会统筹保险费,社会统筹保险费,,81944368.0,87610784.0,77625642.0,83329553.0
4,DETAIL,,使用权资产折旧,使用权资产折旧,,75567098.0,82793640.0,71284052.0,78393646.0
5,DETAIL,,保险保障基金,保险保障基金,,58239088.0,58239088.0,60178186.0,60178186.0
6,DETAIL,,住房公积金,住房公积金,,40766927.0,43403173.0,39016663.0,41679743.0
7,DETAIL,,无形资产摊销,无形资产摊销,,22638828.0,25027417.0,27559168.0,30115595.0
8,DETAIL,,委托投资管理费,委托投资管理费,,111270206.0,21098576.0,131714353.0,27039910.0
9,DETAIL,,物业及公杂费,物业及公杂费,,24180062.0,25639882.0,19506094.0,21070225.0
10,DETAIL,,会议费,会议费,,26196352.0,26676352.0,20539707.0,20539971.0
11,DETAIL,,业务宣传费,业务宣传费,,23775248.0,23775248.0,15985558.0,16000653.0
12,DETAIL,,差旅费,差旅费,,12780518.0,13437180.0,10741171.0,11263223.0
13,DETAIL,,培训费,培训费,,16806153.0,16806153.0,10216592.0,10216592.0
14,DETAIL,,邮电费,邮电费,,7621924.0,7868483.0,9128007.0,9513452.0
15,DETAIL,,固定资产折旧,固定资产折旧,,5996147.0,6382703.0,7383834.0,8016583.0
16,DETAIL,,业务招待费,业务招待费,,8927198.0,8927438.0,3725574.0,3725574.0
17,DETAIL,,工会经费和职工教育经费,工会经费和职工教育经费,,7769055.0,8511823.0,6893727.0,7607566.0
18,DETAIL,,长期摊销费用,长期摊销费用,,6867256.0,6867256.0,4899343.0,4943763.0
19,DETAIL,,租赁费,租赁费,,84762.0,626391.0,3106577.0,3475664.0
20,DETAIL,,其他,其他,,36518666.0,41314075.0,39353175.0,43994675.0
21,DETAIL,,减：当期发生的保险获取现金流量,减：当期发生的保险获取现金流量,,-558981090.0,-558981090.0,-499786509.0,-499786509.0
22,DETAIL,,当期发生的其他保险履约现金流,当期发生的其他保险履约现金流,,-361553814.0,-361553814.0,-425932281.0,-425932281.0
23,TOTAL,,合计,合计,,144109167.0,140537055.0,171459285.0,150712320.0
